"","gndr","eisced","cntry","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"1","Hombre","Primaria","Austria",77,60,60,1,1,0,0,8,4
"2","Mujer","Secundaria Inferior","Austria",15,15,300,5,0.25,5,10,8,4
"3",NA,"Secundaria Superior","Austria",66,90,40,0.67,1.5,7,10,8,3
"4","Hombre","Master/Doctorado","Austria",28,25,240,4,0.42,5,8,9,5
"5","Mujer","Master/Doctorado","Austria",54,60,180,3,1,7,10,8,4
"6",NA,"Secundaria Inferior","Austria",81,120,NA,NA,2,1,8,8,5
"7","Hombre","Grado Universitario","Austria",57,120,180,3,2,4,8,8,4
"8","Hombre","Secundaria Superior","Austria",73,180,360,6,3,5,10,10,5
"9","Mujer","Grado Universitario","Austria",41,10,180,3,0.17,3,9,5,3
"10","Mujer","Formacion Profesional","Austria",55,1,180,3,0.02,5,6,6,4
"11","Hombre","Formacion Profesional","Austria",35,150,270,4.5,2.5,2,1,8,5
"12","Mujer","Secundaria Superior","Austria",NA,60,60,1,1,0,0,5,4
"13","Hombre","Secundaria Superior","Austria",55,60,60,1,1,1,3,8,3
"14","Mujer","Secundaria Inferior","Austria",65,120,120,2,2,0,7,8,4
"15","Mujer","Secundaria Superior","Austria",29,10,510,8.5,0.17,2,6,5,3
"16","Hombre","Bachiller","Austria",27,120,180,3,2,1,8,3,5
"17","Mujer","Grado Universitario","Austria",27,60,180,3,1,2,7,1,3
"18",NA,NA,"Austria",NA,30,120,2,0.5,1,7,8,4
"19","Hombre","Secundaria Superior","Austria",41,180,240,4,3,2,3,5,5
"20","Hombre","Secundaria Superior","Austria",32,60,90,1.5,1,1,8,8,4
"21","Mujer","Master/Doctorado","Austria",35,60,240,4,1,6,10,7,5
"22","Mujer","Bachiller","Austria",20,40,300,5,0.67,1,10,1,4
"23",NA,NA,"Austria",NA,60,420,7,1,8,10,9,5
"24","Hombre","Secundaria Superior","Austria",26,119,210,3.5,1.98,0,9,9,5
"25","Hombre","Secundaria Superior","Austria",61,30,120,2,0.5,3,2,3,2
"26","Mujer","Formacion Profesional","Austria",58,60,180,3,1,0,0,8,5
"27","Hombre","Master/Doctorado","Austria",68,10,360,6,0.17,3,9,7,4
"28","Hombre","Formacion Profesional","Austria",51,60,150,2.5,1,3,6,8,4
"29","Hombre","Primaria","Austria",16,60,360,6,1,3,9,9,5
"30","Hombre",NA,"Austria",73,20,NA,NA,0.33,0,10,10,5
"31","Mujer","Bachiller","Austria",27,30,180,3,0.5,2,9,7,4
"32","Hombre","Secundaria Superior","Austria",36,10,120,2,0.17,1,7,8,4
"33","Hombre","Secundaria Superior","Austria",66,60,180,3,1,1,1,3,4
"34","Mujer","Bachiller","Austria",56,60,600,10,1,3,7,8,4
"35","Mujer","Formacion Profesional","Austria",51,10,120,2,0.17,6,7,6,3
"36","Mujer","Secundaria Inferior","Austria",77,90,NA,NA,1.5,2,3,8,4
"37","Hombre","Secundaria Inferior","Austria",31,120,120,2,2,3,10,7,4
"38","Hombre","Secundaria Superior","Austria",67,10,NA,NA,0.17,3,9,9,4
"39","Hombre",NA,"Austria",48,90,480,8,1.5,5,7,5,5
"40","Mujer","Secundaria Superior","Austria",39,30,30,0.5,0.5,0,5,10,5
"41","Hombre","Secundaria Superior","Austria",39,10,20,0.33,0.17,1,2,6,4
"42","Hombre","Master/Doctorado","Austria",54,30,60,1,0.5,5,8,8,4
"43","Mujer","Formacion Profesional","Austria",18,10,420,7,0.17,6,7,8,4
"44","Mujer","Secundaria Superior","Austria",43,30,30,0.5,0.5,1,5,9,4
"45","Mujer","Secundaria Superior","Austria",55,30,60,1,0.5,0,0,5,3
"46","Hombre","Master/Doctorado","Austria",37,10,120,2,0.17,2,10,8,5
"47","Hombre","Formacion Profesional","Austria",59,5,60,1,0.08,1,1,7,4
"48","Hombre","Secundaria Superior","Austria",70,60,NA,NA,1,2,8,8,4
"49","Mujer","Grado Universitario","Austria",26,20,600,10,0.33,2,8,7,4
"50","Hombre","Secundaria Superior","Austria",52,120,60,1,2,9,6,9,4
"51","Hombre","Grado Universitario","Austria",67,60,60,1,1,7,8,7,4
"52","Mujer","Formacion Profesional","Austria",47,15,300,5,0.25,0,8,7,5
"53","Mujer","Secundaria Superior","Austria",60,90,90,1.5,1.5,4,6,8,4
"54","Mujer","Master/Doctorado","Austria",48,15,600,10,0.25,5,7,7,4
"55","Mujer","Secundaria Superior","Austria",45,60,480,8,1,2,3,9,4
"56","Hombre","Secundaria Superior","Austria",81,90,NA,NA,1.5,5,5,3,3
"57","Mujer","Bachiller","Austria",51,45,270,4.5,0.75,4,8,9,4
"58","Mujer","Secundaria Inferior","Austria",15,30,300,5,0.5,7,9,10,5
"59","Hombre","Secundaria Superior","Austria",27,30,180,3,0.5,0,9,8,5
"60","Mujer","Master/Doctorado","Austria",41,15,120,2,0.25,4,8,10,5
"61","Mujer","Formacion Profesional","Austria",49,20,NA,NA,0.33,7,7,5,3
"62","Hombre","Secundaria Superior","Austria",64,60,150,2.5,1,1,7,7,3
"63","Mujer","Master/Doctorado","Austria",32,30,480,8,0.5,5,7,9,5
"64","Hombre","Grado Universitario","Austria",62,120,600,10,2,2,5,7,5
"65","Hombre","Secundaria Superior","Austria",29,10,NA,NA,0.17,3,7,6,5
"66","Hombre","Formacion Profesional","Austria",NA,0,NA,NA,0,0,4,3,4
"67","Mujer","Secundaria Superior","Austria",70,90,40,0.67,1.5,2,4,5,4
"68","Mujer",NA,"Austria",16,90,765,12.75,1.5,5,10,5,4
"69","Hombre","Secundaria Superior","Austria",53,45,30,0.5,0.75,0,7,8,4
"70","Mujer","Secundaria Superior","Austria",28,20,360,6,0.33,0,4,4,4
"71","Mujer","Formacion Profesional","Austria",58,10,47,0.78,0.17,1,2,5,4
"72","Hombre","Formacion Profesional","Austria",51,45,360,6,0.75,1,8,5,3
"73","Hombre","Secundaria Superior","Austria",NA,180,120,2,3,0,7,8,4
"74","Mujer","Grado Universitario","Austria",28,60,300,5,1,2,1,9,4
"75","Hombre","Master/Doctorado","Austria",44,90,180,3,1.5,6,10,8,4
"76","Hombre","Secundaria Inferior","Austria",74,60,60,1,1,4,7,8,3
"77","Mujer","Secundaria Superior","Austria",49,30,15,0.25,0.5,1,7,10,4
"78","Mujer","Bachiller","Austria",59,5,5,0.08,0.08,5,5,9,5
"79","Hombre","Bachiller","Austria",19,30,265,4.42,0.5,0,6,8,4
"80","Hombre","Secundaria Superior","Austria",31,15,180,3,0.25,0,5,7,4
"81","Mujer","Formacion Profesional","Austria",21,120,360,6,2,4,8,6,4
"82","Hombre","Bachiller","Austria",44,15,240,4,0.25,4,4,8,4
"83","Hombre","Master/Doctorado","Austria",34,30,600,10,0.5,3,9,4,5
"84","Hombre",NA,"Austria",57,110,480,8,1.83,2,8,3,3
"85","Hombre","Master/Doctorado","Austria",30,60,720,12,1,2,9,7,3
"86","Hombre","Secundaria Superior","Austria",80,120,60,1,2,0,3,5,3
"87","Mujer","Master/Doctorado","Austria",60,60,120,2,1,3,7,9,4
"88","Mujer","Formacion Profesional","Austria",47,30,60,1,0.5,5,7,7,4
"89","Mujer","Formacion Profesional","Austria",22,30,630,10.5,0.5,6,7,8,4
"90","Mujer","Grado Universitario","Austria",29,60,360,6,1,1,7,9,4
"91","Hombre","Master/Doctorado","Austria",35,45,480,8,0.75,5,9,6,4
"92","Hombre","Bachiller","Austria",NA,60,720,12,1,1,9,7,3
"93",NA,NA,"Austria",NA,30,90,1.5,0.5,5,8,7,4
"94","Mujer","Formacion Profesional","Austria",42,60,180,3,1,0,1,10,5
"95","Hombre","Secundaria Superior","Austria",78,120,NA,NA,2,2,7,8,3
"96","Hombre","Formacion Profesional","Austria",73,30,NA,NA,0.5,7,8,6,4
"97","Mujer","Master/Doctorado","Austria",31,20,120,2,0.33,5,8,1,5
"98","Hombre","Secundaria Superior","Austria",40,90,360,6,1.5,0,8,8,4
"99","Mujer","Secundaria Superior","Austria",80,60,NA,NA,1,0,4,5,3
"100","Mujer","Formacion Profesional","Austria",31,20,330,5.5,0.33,2,8,3,4
"101","Mujer","Formacion Profesional","Austria",80,120,NA,NA,2,1,6,6,3
"102","Hombre","Master/Doctorado","Austria",56,90,480,8,1.5,5,8,10,5
"103","Hombre","Formacion Profesional","Austria",53,90,180,3,1.5,6,8,8,4
"104","Mujer","Secundaria Superior","Austria",39,90,NA,NA,1.5,5,5,5,4
"105","Mujer","Formacion Profesional","Austria",56,59,NA,NA,0.98,2,10,8,5
"106","Mujer","Secundaria Superior","Austria",60,10,NA,NA,0.17,0,3,2,2
"107","Hombre","Secundaria Superior","Austria",NA,60,NA,NA,1,3,7,8,4
"108","Mujer","Bachiller","Austria",29,15,180,3,0.25,1,2,8,5
"109","Mujer","Formacion Profesional","Austria",59,90,240,4,1.5,2,2,10,5
"110","Mujer","Master/Doctorado","Austria",51,60,540,9,1,7,9,1,4
"111","Mujer","Secundaria Inferior","Austria",74,180,NA,NA,3,2,10,7,4
"112","Mujer","Formacion Profesional","Austria",61,120,NA,NA,2,0,0,4,1
"113","Hombre","Secundaria Superior","Austria",54,30,480,8,0.5,3,6,7,3
"114","Hombre","Bachiller","Austria",18,100,330,5.5,1.67,4,7,8,5
"115","Hombre","Secundaria Superior","Austria",65,30,600,10,0.5,1,3,10,5
"116","Mujer","Formacion Profesional","Austria",52,30,480,8,0.5,3,9,8,3
"117","Hombre","Bachiller","Austria",36,120,240,4,2,2,7,7,4
"118","Hombre","Secundaria Superior","Austria",53,15,90,1.5,0.25,3,5,8,5
"119","Mujer","Primaria","Austria",88,60,120,2,1,4,6,6,4
"120","Mujer","Grado Universitario","Austria",55,120,120,2,2,1,8,8,4
"121","Mujer","Grado Universitario","Austria",41,15,180,3,0.25,2,9,6,4
"122","Mujer","Secundaria Superior","Austria",29,150,420,7,2.5,0,6,9,5
"123","Mujer","Secundaria Superior","Austria",32,0,30,0.5,0,1,6,8,3
"124","Mujer","Formacion Profesional","Austria",60,120,540,9,2,5,8,7,5
"125","Hombre","Master/Doctorado","Austria",66,90,150,2.5,1.5,6,9,5,3
"126","Hombre","Master/Doctorado","Austria",54,120,420,7,2,4,5,8,2
"127","Mujer","Formacion Profesional","Austria",78,60,40,0.67,1,4,5,7,4
"128","Mujer","Primaria","Austria",66,60,NA,NA,1,10,10,0,2
"129","Mujer","Secundaria Inferior","Austria",79,150,NA,NA,2.5,7,9,9,4
"130","Hombre","Secundaria Superior","Austria",71,60,NA,NA,1,2,5,8,3
"131","Mujer","Secundaria Inferior","Austria",56,30,40,0.67,0.5,5,5,8,4
"132","Hombre","Grado Universitario","Austria",32,120,720,12,2,4,9,8,5
"133","Mujer","Bachiller","Austria",18,120,270,4.5,2,2,10,3,4
"134","Hombre","Secundaria Superior","Austria",54,20,NA,NA,0.33,3,8,3,4
"135","Mujer","Secundaria Superior","Austria",64,20,10,0.17,0.33,3,9,8,2
"136","Mujer","Secundaria Superior","Austria",41,30,30,0.5,0.5,0,2,9,5
"137","Mujer","Master/Doctorado","Austria",36,7,120,2,0.12,3,5,8,5
"138","Mujer","Secundaria Superior","Austria",43,90,180,3,1.5,0,10,10,5
"139","Mujer","Grado Universitario","Austria",58,60,120,2,1,1,6,8,4
