"","gndr","eisced","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"1","Hombre","Primaria",77,60,60,1,1,0,0,8,4
"2","Mujer","Secundaria Inferior",15,15,300,5,0.25,5,10,8,4
"3",NA,"Secundaria SUperior",66,90,40,0.67,1.5,7,10,8,3
"4","Hombre","Máster/Doctorado",28,25,240,4,0.42,5,8,9,5
"5","Mujer","Máster/Doctorado",54,60,180,3,1,7,10,8,4
"6",NA,"Secundaria Inferior",81,120,NA,NA,2,1,8,8,5
"7","Hombre","Grado Universitario",57,120,180,3,2,4,8,8,4
"8","Hombre","Secundaria SUperior",73,180,360,6,3,5,10,10,5
"9",NA,NA,NA,10,NA,NA,0.17,4,2,6,3
"10","Mujer","Grado Universitario",41,10,180,3,0.17,3,9,5,3
"11","Mujer","Formación Profesional",55,1,180,3,0.02,5,6,6,4
"12","Hombre","Formación Profesional",35,150,270,4.5,2.5,2,1,8,5
"13","Mujer","Secundaria SUperior",NA,60,60,1,1,0,0,5,4
"14","Hombre","Secundaria SUperior",55,60,60,1,1,1,3,8,3
"15","Mujer","Secundaria Inferior",65,120,120,2,2,0,7,8,4
"16","Mujer","Secundaria SUperior",29,10,510,8.5,0.17,2,6,5,3
"17","Hombre","Bachiller",27,120,180,3,2,1,8,3,5
"18","Mujer","Grado Universitario",27,60,180,3,1,2,7,1,3
"19",NA,NA,NA,30,120,2,0.5,1,7,8,4
"20","Hombre","Secundaria SUperior",41,180,240,4,3,2,3,5,5
"21","Hombre","Secundaria SUperior",32,60,90,1.5,1,1,8,8,4
"22","Mujer","Máster/Doctorado",35,60,240,4,1,6,10,7,5
"23","Mujer","Bachiller",20,40,300,5,0.67,1,10,1,4
"24",NA,NA,NA,60,420,7,1,8,10,9,5
"25","Hombre","Secundaria SUperior",26,119,210,3.5,1.98,0,9,9,5
"26","Hombre","Secundaria SUperior",61,30,120,2,0.5,3,2,3,2
"27","Mujer","Formación Profesional",58,60,180,3,1,0,0,8,5
"28","Hombre","Máster/Doctorado",68,10,360,6,0.17,3,9,7,4
"29","Hombre","Formación Profesional",51,60,150,2.5,1,3,6,8,4
"30","Hombre","Primaria",16,60,360,6,1,3,9,9,5
"31","Hombre",NA,73,20,NA,NA,0.33,0,10,10,5
"32","Mujer","Bachiller",27,30,180,3,0.5,2,9,7,4
"33","Hombre","Secundaria SUperior",36,10,120,2,0.17,1,7,8,4
"34","Hombre","Secundaria SUperior",66,60,180,3,1,1,1,3,4
"35","Mujer","Bachiller",56,60,600,10,1,3,7,8,4
"36","Mujer","Formación Profesional",51,10,120,2,0.17,6,7,6,3
"37","Mujer","Secundaria Inferior",77,90,NA,NA,1.5,2,3,8,4
"38","Hombre","Secundaria Inferior",31,120,120,2,2,3,10,7,4
"39","Hombre","Secundaria SUperior",67,10,NA,NA,0.17,3,9,9,4
"40","Hombre",NA,48,90,480,8,1.5,5,7,5,5
