"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","nwspol","netusoft","netustm","trstplt","trstprt","trstsci","happy","health","medcrgv","gndr","agea","eisced","region","prob","stratum","psu"
"ESS10SCe03_1",10,"3.1","02.11.2023",10009,"AT",0.74853796,3.3016517,0.3817861,1.2605247,60,4,60,0,0,0,8,2,5,1,77,1,"AT34",0.00091380405,24,1477
"ESS10SCe03_1",10,"3.1","02.11.2023",10034,"AT",0.999471,0.9176571,0.3817861,0.35034874,15,5,300,5,3,10,8,2,9,2,15,2,"AT31",0.000684379,105,1831
"ESS10SCe03_1",10,"3.1","02.11.2023",10048,"AT",1.5111212,0.6638178,0.3817861,0.25343645,90,4,40,7,8,10,8,3,10,9,66,3,"AT31",0.0004526553,97,1503
"ESS10SCe03_1",10,"3.1","02.11.2023",10058,"AT",2.9794238,2.977892,0.3817861,1.1369178,25,5,240,5,5,8,9,1,10,1,28,7,"AT13",0.0002295803,34,697
"ESS10SCe03_1",10,"3.1","02.11.2023",10066,"AT",0.7572235,1.569681,0.3817861,0.59928244,60,5,180,7,5,10,8,2,10,2,54,7,"AT33",0.0009033224,7,378
"ESS10SCe03_1",10,"3.1","02.11.2023",10091,"AT",1.055126,2.5397816,0.3817861,0.96965337,120,2,6666,1,1,8,8,1,10,9,81,2,"AT12",0.00064827997,61,1450
"ESS10SCe03_1",10,"3.1","02.11.2023",10166,"AT",0.38084924,0.7934452,0.3817861,0.30292636,120,5,180,4,3,8,8,2,9,1,57,6,"AT33",0.0017960308,8,284
"ESS10SCe03_1",10,"3.1","02.11.2023",10167,"AT",0.84995234,1.8911952,0.3817861,0.72203207,180,5,360,5,6,10,10,1,10,1,73,3,"AT32",0.000804771,3,1658
"ESS10SCe03_1",10,"3.1","02.11.2023",10171,"AT",0.72670966,0.60442007,0.3817861,0.23075919,10,3,6666,4,5,2,6,3,99,9,999,99,"AT12",0.00094125204,39,1111
"ESS10SCe03_1",10,"3.1","02.11.2023",10190,"AT",1.9978616,0.8176366,0.3817861,0.3121623,10,5,180,3,3,9,5,3,5,2,41,6,"AT22",0.00034237455,82,1861
"ESS10SCe03_1",10,"3.1","02.11.2023",10200,"AT",0.7601139,0.2920217,0.3817861,0.11148983,1,5,180,5,5,6,6,2,7,2,55,5,"AT22",0.0008998875,83,983
"ESS10SCe03_1",10,"3.1","02.11.2023",10202,"AT",0.47667435,0.191559,0.3817861,0.07313457,150,5,270,2,4,1,8,1,10,1,35,5,"AT22",0.0014349776,84,322
"ESS10SCe03_1",10,"3.1","02.11.2023",10215,"AT",2.6746774,4,0.3817861,1.5271444,60,5,60,0,0,0,5,2,5,2,999,3,"AT32",0.00025573812,116,1536
"ESS10SCe03_1",10,"3.1","02.11.2023",10237,"AT",1.2635202,2.8114076,0.3817861,1.0733564,60,4,60,1,0,3,8,3,9,1,55,3,"AT34",0.00054135814,26,1531
"ESS10SCe03_1",10,"3.1","02.11.2023",10238,"AT",0.9618752,3.0163345,0.3817861,1.1515946,120,5,120,0,0,7,8,2,10,2,65,2,"AT12",0.00071112864,55,753
"ESS10SCe03_1",10,"3.1","02.11.2023",10241,"AT",1.1041481,1.9191666,0.3817861,0.73271114,10,5,510,2,5,6,5,3,3,2,29,3,"AT32",0.0006194975,5,1607
"ESS10SCe03_1",10,"3.1","02.11.2023",10289,"AT",0.5113075,0.5012027,0.3817861,0.19135223,120,5,180,1,0,8,3,1,10,1,27,4,"AT13",0.00133778,12,20
"ESS10SCe03_1",10,"3.1","02.11.2023",10296,"AT",0.8349567,0.40005445,0.3817861,0.15273523,60,5,180,2,2,7,1,3,10,2,27,6,"AT31",0.0008192245,99,612
"ESS10SCe03_1",10,"3.1","02.11.2023",10306,"AT",1.0126709,0.84225994,0.3817861,0.32156315,30,5,120,1,1,7,8,2,99,9,999,99,"AT12",0.00067545834,53,1107
"ESS10SCe03_1",10,"3.1","02.11.2023",10314,"AT",1.0240833,0.8517518,0.3817861,0.32518703,180,5,240,2,2,3,5,1,5,1,41,3,"AT12",0.00066793105,58,505
"ESS10SCe03_1",10,"3.1","02.11.2023",10358,"AT",0.79382676,0.41219354,0.3817861,0.15736978,60,5,90,1,2,8,8,2,5,1,32,3,"AT22",0.00086167036,80,100
"ESS10SCe03_1",10,"3.1","02.11.2023",10368,"AT",0.44766283,0.18320869,0.3817861,0.069946535,60,5,240,6,6,10,7,1,10,2,35,7,"AT31",0.0015279737,103,702
"ESS10SCe03_1",10,"3.1","02.11.2023",10370,"AT",1.8744552,1.2142942,0.3817861,0.46360067,40,5,300,1,1,10,1,2,10,2,20,4,"AT12",0.0003649151,42,596
"ESS10SCe03_1",10,"3.1","02.11.2023",10386,"AT",0.84995234,1.8967448,0.3817861,0.72415084,60,4,420,8,9,10,9,1,99,9,999,99,"AT32",0.000804771,3,1047
"ESS10SCe03_1",10,"3.1","02.11.2023",10387,"AT",2.0896719,2.048376,0.3817861,0.78204155,119,5,210,0,1,9,9,1,10,1,26,3,"AT12",0.00032733224,54,1839
"ESS10SCe03_1",10,"3.1","02.11.2023",10430,"AT",0.8349567,0.36678666,0.3817861,0.14003405,30,5,120,3,4,2,3,4,9,1,61,3,"AT31",0.0008192245,99,1516
"ESS10SCe03_1",10,"3.1","02.11.2023",10432,"AT",0.84995234,1.6539526,0.3817861,0.63145614,60,5,180,0,0,0,8,1,10,2,58,5,"AT32",0.000804771,3,210
"ESS10SCe03_1",10,"3.1","02.11.2023",10443,"AT",0.52963287,0.41124657,0.3817861,0.15700823,10,5,360,3,1,9,7,2,5,1,68,7,"AT12",0.0012914927,52,620
"ESS10SCe03_1",10,"3.1","02.11.2023",10455,"AT",0.7455467,0.32847098,0.3817861,0.12540565,60,4,150,3,3,6,8,2,7,1,51,5,"AT21",0.0009174703,91,573
"ESS10SCe03_1",10,"3.1","02.11.2023",10461,"AT",1.5205424,4,0.3817861,1.5271444,60,5,360,3,2,9,9,1,10,1,16,1,"AT13",0.00044985066,38,356
"ESS10SCe03_1",10,"3.1","02.11.2023",10555,"AT",0.9755621,0.8090221,0.3817861,0.30887341,20,9,9999,0,0,10,10,1,0,1,73,99,"AT12",0.0007011517,57,1140
"ESS10SCe03_1",10,"3.1","02.11.2023",10560,"AT",1.1742966,0.40296814,0.3817861,0.15384765,30,5,180,2,2,9,7,2,10,2,27,4,"AT22",0.0005824908,72,1736
"ESS10SCe03_1",10,"3.1","02.11.2023",10576,"AT",1.0254709,0.852906,0.3817861,0.32562765,10,5,120,1,1,7,8,2,10,1,36,3,"AT12",0.0006670272,50,1508
"ESS10SCe03_1",10,"3.1","02.11.2023",10581,"AT",1.022615,0.8480423,0.3817861,0.3237708,60,5,180,1,0,1,3,2,10,1,66,3,"AT13",0.00066889,12,1770
"ESS10SCe03_1",10,"3.1","02.11.2023",10584,"AT",1.1883165,1.1851509,0.3817861,0.45247415,60,5,600,3,4,7,8,2,10,2,56,4,"AT13",0.0005756185,23,1715
"ESS10SCe03_1",10,"3.1","02.11.2023",10654,"AT",0.9193351,0.6106682,0.3817861,0.23314464,10,5,120,6,3,7,6,3,8,2,51,5,"AT12",0.0007440344,49,869
"ESS10SCe03_1",10,"3.1","02.11.2023",10659,"AT",0.40422294,0.6714689,0.3817861,0.25635752,90,1,6666,2,1,3,8,2,2,2,77,2,"AT22",0.0016921776,69,1530
"ESS10SCe03_1",10,"3.1","02.11.2023",10714,"AT",0.528447,2.1225262,0.3817861,0.810351,120,5,120,3,4,10,7,2,10,1,31,2,"AT13",0.001294391,36,484
"ESS10SCe03_1",10,"3.1","02.11.2023",10736,"AT",1.0218302,0.44887784,0.3817861,0.17137533,10,2,6666,3,3,9,9,2,2,1,67,3,"AT22",0.00066940376,74,1200
"ESS10SCe03_1",10,"3.1","02.11.2023",10754,"AT",1.055126,0.87757105,0.3817861,0.33504444,90,5,480,5,5,7,5,1,10,1,48,55,"AT12",0.00064827997,61,1003
"ESS10SCe03_1",10,"3.1","02.11.2023",10771,"AT",0.8915591,2.3857667,0.3817861,0.9108526,60,2,6666,99,99,99,7,2,7,2,68,3,"AT32",0.0007672144,116,1209
"ESS10SCe03_1",10,"3.1","02.11.2023",10833,"AT",0.72670966,0.48271698,0.3817861,0.18429464,30,5,30,0,0,5,10,1,5,2,39,3,"AT12",0.00094125204,39,144
"ESS10SCe03_1",10,"3.1","02.11.2023",10839,"AT",0.90981275,2.0303278,0.3817861,0.77515095,10,5,20,1,1,2,6,2,10,1,39,3,"AT33",0.00075182173,17,1539
"ESS10SCe03_1",10,"3.1","02.11.2023",10865,"AT",0.74853796,1.5236558,0.3817861,0.58171064,30,5,60,5,5,8,8,2,9,1,54,7,"AT34",0.00091380405,24,137
"ESS10SCe03_1",10,"3.1","02.11.2023",10880,"AT",1.5662137,0.5374572,0.3817861,0.20519371,10,5,420,6,6,7,8,2,5,2,18,5,"AT31",0.00043673287,104,1934
"ESS10SCe03_1",10,"3.1","02.11.2023",10969,"AT",0.5113075,0.33963573,0.3817861,0.1296682,30,4,30,1,1,5,9,2,5,2,43,3,"AT13",0.00133778,12,632
"ESS10SCe03_1",10,"3.1","02.11.2023",10989,"AT",1.2295516,3.290216,0.3817861,1.2561588,30,5,60,0,0,0,5,3,5,2,55,3,"AT32",0.0005563142,115,1307
"ESS10SCe03_1",10,"3.1","02.11.2023",11020,"AT",0.72670966,0.5513124,0.3817861,0.21048342,10,5,120,2,4,10,8,1,10,1,37,7,"AT12",0.00094125204,39,711
"ESS10SCe03_1",10,"3.1","02.11.2023",11057,"AT",1.0883634,0.4476572,0.3817861,0.1709093,5,5,60,1,1,1,7,2,10,1,59,5,"AT21",0.00062848214,90,1417
"ESS10SCe03_1",10,"3.1","02.11.2023",11078,"AT",0.84045357,0.36920127,0.3817861,0.14095592,60,3,6666,2,0,8,8,2,9,1,70,3,"AT21",0.0008138665,95,1269
"ESS10SCe03_1",10,"3.1","02.11.2023",11083,"AT",0.527563,0.47718337,0.3817861,0.18218198,20,5,600,2,2,8,7,2,9,2,26,6,"AT12",0.0012965599,61,1693
"ESS10SCe03_1",10,"3.1","02.11.2023",11154,"AT",0.66631395,0.29356277,0.3817861,0.11207819,120,4,60,9,10,6,9,2,9,1,52,3,"AT31",0.0010265686,105,1189
"ESS10SCe03_1",10,"3.1","02.11.2023",11162,"AT",1.4823618,1.151017,0.3817861,0.4394423,60,5,60,7,7,8,7,2,8,1,67,6,"AT13",0.00046143727,37,1636
"ESS10SCe03_1",10,"3.1","02.11.2023",11244,"AT",0.60090894,0.3991535,0.3817861,0.15239127,15,5,300,0,0,8,7,1,10,2,47,5,"AT13",0.0011383039,27,477
"ESS10SCe03_1",10,"3.1","02.11.2023",11260,"AT",0.5442396,1.4563571,0.3817861,0.5560169,90,5,90,4,4,6,8,2,10,2,60,3,"AT33",0.0012568306,15,679
"ESS10SCe03_1",10,"3.1","02.11.2023",11313,"AT",0.78368235,1.6245283,0.3817861,0.62022233,15,5,600,5,3,7,7,2,10,2,48,7,"AT34",0.00087282434,25,1341
"ESS10SCe03_1",10,"3.1","02.11.2023",11317,"AT",1.6325451,0.5744345,0.3817861,0.21931113,60,5,480,2,0,3,9,2,7,2,45,3,"AT21",0.0004189881,90,677
"ESS10SCe03_1",10,"3.1","02.11.2023",11319,"AT",1.089091,0.90317065,0.3817861,0.34481803,90,3,6666,5,5,5,3,3,6,1,81,3,"AT13",0.00062806235,2,972
"ESS10SCe03_1",10,"3.1","02.11.2023",11328,"AT",0.9348352,0.6209641,0.3817861,0.23707548,45,5,270,4,1,8,9,2,10,2,51,4,"AT12",0.00073169795,47,602
"ESS10SCe03_1",10,"3.1","02.11.2023",11356,"AT",1.6394022,4,0.3817861,1.5271444,30,5,300,7,5,9,10,1,10,2,15,2,"AT32",0.00041723563,115,1058
"ESS10SCe03_1",10,"3.1","02.11.2023",11362,"AT",1.089411,0.56567574,0.3817861,0.21596715,30,4,180,0,0,9,8,1,4,1,27,3,"AT22",0.0006278778,79,1148
"ESS10SCe03_1",10,"3.1","02.11.2023",11433,"AT",0.5348329,0.41320795,0.3817861,0.15775706,15,5,120,4,4,8,10,1,10,2,41,7,"AT11",0.0012789359,65,1633
"ESS10SCe03_1",10,"3.1","02.11.2023",11437,"AT",0.44928023,0.29843432,0.3817861,0.11393808,20,3,6666,7,4,7,5,3,9,2,49,5,"AT12",0.001522473,41,1960
"ESS10SCe03_1",10,"3.1","02.11.2023",11484,"AT",0.84045357,0.36920127,0.3817861,0.14095592,60,5,150,1,2,7,7,3,8,1,64,3,"AT21",0.0008138665,95,1592
"ESS10SCe03_1",10,"3.1","02.11.2023",11516,"AT",1.1992664,1.0847424,0.3817861,0.4141396,30,5,480,5,5,7,9,1,10,2,32,7,"AT13",0.00057036284,28,1509
"ESS10SCe03_1",10,"3.1","02.11.2023",11538,"AT",1.0393327,2.1653032,0.3817861,0.82668275,120,5,600,2,2,5,7,1,8,1,62,6,"AT33",0.0006581309,10,1987
"ESS10SCe03_1",10,"3.1","02.11.2023",11549,"AT",0.89856046,0.8808033,0.3817861,0.33627847,10,2,6666,3,3,7,6,1,5,1,29,3,"AT12",0.0007612365,41,1674
"ESS10SCe03_1",10,"3.1","02.11.2023",11568,"AT",1.2749285,2.845117,0.3817861,1.0862262,0,2,6666,0,0,4,3,2,10,1,999,5,"AT32",0.00053651404,3,82
"ESS10SCe03_1",10,"3.1","02.11.2023",11573,"AT",1.4002106,1.3964807,0.3817861,0.53315693,90,4,40,2,2,4,5,2,5,2,70,3,"AT11",0.00048851006,67,1188
"ESS10SCe03_1",10,"3.1","02.11.2023",11621,"AT",0.5445455,0.35276297,0.3817861,0.13468,90,5,765,5,6,10,5,2,10,2,16,55,"AT13",0.0012561247,2,880
"ESS10SCe03_1",10,"3.1","02.11.2023",11634,"AT",1.4633431,1.2170941,0.3817861,0.46466962,45,5,30,0,1,7,8,2,9,1,53,3,"AT12",0.00046743444,57,1409
"ESS10SCe03_1",10,"3.1","02.11.2023",11649,"AT",0.527563,0.34176138,0.3817861,0.13047975,20,5,360,0,0,4,4,2,8,2,28,3,"AT12",0.0012965599,61,1738
"ESS10SCe03_1",10,"3.1","02.11.2023",11682,"AT",0.37861174,1.0131463,0.3817861,0.38680518,10,5,47,1,1,2,5,2,8,2,58,5,"AT33",0.0018066448,7,1262
"ESS10SCe03_1",10,"3.1","02.11.2023",11689,"AT",0.66631395,0.29356277,0.3817861,0.11207819,45,4,360,1,1,8,5,3,10,1,51,5,"AT31",0.0010265686,105,259
"ESS10SCe03_1",10,"3.1","02.11.2023",11696,"AT",1.2580651,2.8074853,0.3817861,1.0718589,180,5,120,0,0,7,8,2,10,1,999,3,"AT33",0.0005437056,16,1663
"ESS10SCe03_1",10,"3.1","02.11.2023",11702,"AT",0.7455467,0.35721523,0.3817861,0.13637981,60,5,300,2,2,1,9,2,10,2,28,6,"AT21",0.0009174703,91,1608
"ESS10SCe03_1",10,"3.1","02.11.2023",11782,"AT",1.1742966,0.4719092,0.3817861,0.18016838,90,5,180,6,6,10,8,2,9,1,44,7,"AT22",0.0005824908,72,105
"ESS10SCe03_1",10,"3.1","02.11.2023",11808,"AT",0.79188985,1.3018057,0.3817861,0.49701136,60,5,60,4,3,7,8,3,9,1,74,2,"AT12",0.00086377794,40,1893
"ESS10SCe03_1",10,"3.1","02.11.2023",11827,"AT",0.9912068,0.34877053,0.3817861,0.13315575,30,4,15,1,3,7,10,2,8,2,49,3,"AT22",0.000690085,76,981
"ESS10SCe03_1",10,"3.1","02.11.2023",11842,"AT",0.50565416,0.50430727,0.3817861,0.19253752,5,4,5,5,5,5,9,1,9,2,59,4,"AT12",0.0013527367,60,637
"ESS10SCe03_1",10,"3.1","02.11.2023",11904,"AT",2.110252,2.068549,0.3817861,0.78974324,30,5,265,0,2,6,8,2,10,1,19,4,"AT12",0.00032413998,61,1804
"ESS10SCe03_1",10,"3.1","02.11.2023",11906,"AT",1.4910934,0.77424836,0.3817861,0.29559729,15,5,180,0,0,5,7,2,10,1,31,3,"AT21",0.00045873516,91,1583
"ESS10SCe03_1",10,"3.1","02.11.2023",11936,"AT",1.3384918,0.86709076,0.3817861,0.3310432,120,5,360,4,5,8,6,2,8,2,21,5,"AT13",0.0005110356,66,168
"ESS10SCe03_1",10,"3.1","02.11.2023",12005,"AT",0.9755621,0.8113958,0.3817861,0.30977967,15,5,240,4,3,4,8,2,9,1,44,4,"AT12",0.0007011517,57,1850
